TSTNO| VEHNO| OCCLOC| OCCLOCD| OCCTYP| OCCTYPD| OCCAGE| OCCSEX| OCCSEXD| OCCHT| OCCWT| MTHCAL| MTHCALD| DUMSIZ| DUMSIZD| DUMMAN| DUMMOD| DUMDSC| HH| HW| HR| HS| CD| CS| AD| HD| KD| HB| NB| CB| KB| SEPOSN| SEPOSND| CNTRH1| CNTRH1D| CNTRH2| CTRH2D| CNTRC1| CNTRC1D| CNTRC2| CNTRC2D| CNTRL1| CNTRL1D| CTRL2| CNTRL2D| HIC| T1| T2| CLIP3M| LFEM| RFEM| CSI| LBELT| SBELT| TTI| PELVG| OCCCOM 
14|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON 572 A03||NO COMMENTS|467|683|||638|376|||201|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|544|70.88|110.5|0|0|0|0|0|0|||NO COMMENTS
16|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|SIERRA PART 572 S45||NO COMMENTS|564|777|||673|399|||198|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1143|82.25|94.75|0|-627|-4235|409|11877|7856|||NO COMMENTS
17|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|PART 572 ALDERSON GFE SER. NO. 759||NO COMMENTS||518||||351|||135|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1887|93.88|115.75|0|-6259|-7273|0|0|6276|||NO COMMENTS
18|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|PART 572 ALDERSON GFE SER. NO. 759||NO COMMENTS||521|||368|368|||262|0|0|0|0|CN|CENTER POSITION|WS|WINDSHIELD|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1819|74.25|97.75|0|-6063|-11076|1299|8243|4466|||NO COMMENTS
19|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON 572 A03||NO COMMENTS|470|711|||645|361|||208|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|940|66|95.63|0|0|0|0|0|0|||NO COMMENTS
20|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|SIERRA ENGINEERING||NO COMMENTS||||||||||0|0|0|0|CN|CENTER POSITION|OT|OTHER|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|41|87.63|206.13|0|0|0|0|0|0|||NO COMMENTS
25|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 319||NO COMMENTS|330|483|140|234|577|343|145|152|208|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|998|67.95|130.65|0|0|0|0|0|6583|||NO COMMENTS
27|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 111||NO COMMENTS|279|419|170|157|526|391|81|152|135|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|849|70.73|107.03|0|0|0|0|0|5249|||NO COMMENTS
30|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|SIERRA N502S05||NO COMMENTS|455|579|191|244|566|384|109|191|135|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|0|0|534.2|0|0|0|0|0|0|||NO COMMENTS
31|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|SIERRA ENGINEERING||NO COMMENTS||||||||||0|0|0|0|CN|CENTER POSITION|OT|OTHER|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|129|132.75|141.75|0|0|0|0|0|0|||NO COMMENTS
33|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABS             A03||NO COMMENTS|312|437|||490|287|||229|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1345|74.88|97.63|0|0|0|0|0|0|||NO COMMENTS
35|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABS A-08||NO COMMENTS||483|361|361|||||178|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1314|69.63|107.25|0|-5556|0|706|0|6305|||NO COMMENTS
39|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON PART 572 759||NO COMMENTS||554||||348|||203|0|0|0|0|CN|CENTER POSITION|WS|WINDSHIELD|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1434|91.88|125.25|0|0|0|428|0|0|||NO COMMENTS
40|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON PART 572 759||NO COMMENTS||549||||343|||203|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|438|111.88|146.38|0|0|0|207|0|0|||NO COMMENTS
41|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON PART 572 759||NO COMMENTS||625||||361|||64|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|2324|85.13|103.25|0|0|0|799|0|0|||NO COMMENTS
42|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON PART 572 759||NO COMMENTS||559||||340|||185|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1597|71.25|116.88|0|0|0|895|0|0|||NO COMMENTS
43|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON PART 572 A03||NO COMMENTS||554||||315|||191|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|807|108.13|143.13|0|0|0|0|0|0|||NO COMMENTS
49|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|SIERRA ENGINEERING||NO COMMENTS||||||||||0|0|0|0|CN|CENTER POSITION|OT|OTHER|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|53|84.13|166.5|0|0|0|0|0|0|||NO COMMENTS
50|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON 572 A03||NO COMMENTS|475|691|||638|381|||211|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|77|73.25|147.63|0|0|0|81|3999|4626|||NO COMMENTS
51|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABS A08||NO COMMENTS||572|||||||198|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1111|88.5|105.25|0|0|0|529|0|6785|||NO COMMENTS
52|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABS A04||NO COMMENTS||554|||||||201|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|547|70.13|136.5|0|0|0|416|0|5268|||NO COMMENTS
53|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LAB A03||NO COMMENTS||353|||||||178|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|661|65.75|103.5|0|0|0|466|0|0|||NO COMMENTS
55|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON 572 A03||NO COMMENTS|472|635|||625|295|||203|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|1050|58.75|106.63|0|0|0|0|0|0|||NO COMMENTS
63|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 319||NO COMMENTS|295|386|114|191|513|335|104|191|191|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|724|51.98|96.08|0|0|0|0|0|5649|||NO COMMENTS
64|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 319||NO COMMENTS|279|419|132|196|513|409|102|137|140|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|1107|64.2|103.8|0|0|0|0|8118|7117|||NO COMMENTS
65|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 109||NO COMMENTS|368|495|157|216|533|343|165|229|196|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|1452|84.9|95.63|0|0|0|0|0|3247|||NO COMMENTS
66|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 319||NO COMMENTS|389|513|145|203|577|432|114|183|170|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1442|78.15|112.28|0|0|0|0|3914|8563|||NO COMMENTS
71|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 110||NO COMMENTS|335|445|163|216|546|381|107|157|196|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|646|73.05|121.5|0|0|0|0|5694|8229|||NO COMMENTS
72|1|01|LEFT FRONT SEAT|SD|NHTSA SIDE IMPACT DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID LATERAL IMPACT||NO COMMENTS|||343|343|||226|193||0|0|0|0|CN|CENTER POSITION|NO|NONE|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|0|0|0|0|-1673|-10680|101|0|0|||NO COMMENTS
73|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 111||NO COMMENTS|246|333|117|140|508|348|64|163|132|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|872|55.8|103.43|0|0|0|0|4003|9964|||NO COMMENTS
78|1|01|LEFT FRONT SEAT|SD|NHTSA SIDE IMPACT DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID LATERAL IMPACT||NO COMMENTS||612|257|257|505|318|282|231|211|0|0|0|0|CN|CENTER POSITION|UN|UNKNOWN|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|353|242.63|244.88|0|0|0|34|0|0|||NO COMMENTS
79|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|SIERRA ENGINEERING||NO COMMENTS||610|||||||140|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|450|73.75|130.13|0|0|0|240|0|4432|||NO COMMENTS
80|1|01|LEFT FRONT SEAT|SD|NHTSA SIDE IMPACT DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID LATERAL IMPACT||NO COMMENTS|||269|269|||170|193||0|0|0|0|CN|CENTER POSITION|OC|ANOTHER OCCUPANT|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|700|78|115.5|0|-565|-231|268|0|0|||NO COMMENTS
88|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 110||NO COMMENTS|401|559|178|216|554|417|140|178|152|0|0|0|0|CN|CENTER POSITION|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|122|77.85|148.13|0|-13|-205|0|5560|2669|||NO COMMENTS
91|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 110||NO COMMENTS|368|544|188|274|554|401|150|175|165|0|0|0|0|CN|CENTER POSITION|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|42|99.38|159.23|0|0|0|0|2068|1802|||NO COMMENTS
92|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID HYBRID II, PART 572||NO COMMENTS|330|470|152|203|526|414|130|206|157|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|941|71.85|108.15|0|0|0|0|6316|6050|||NO COMMENTS
93|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 319||NO COMMENTS|353|513|147|196|635|417|132|191|239|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1023|94.95|123.08|0|0|0|0|5249|5872|||NO COMMENTS
94|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 110||NO COMMENTS|432|521|137|168|635|399|69|145|178|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|2029|62.03|98.25|0|0|0|0|4982|4982|||NO COMMENTS
96|1|01|LEFT FRONT SEAT|SD|NHTSA SIDE IMPACT DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|NHTSA SIDE IMPACT DUMMY||NO COMMENTS|394|660|178|191|572|330|127|165|216|0|0|0|0|CN|CENTER POSITION|UN|UNKNOWN|UN|UNKNOWN|UN|UNKNOWN|UN|UNKNOWN|UN|UNKNOWN|UN|UNKNOWN|1642|45.13|500|0|0|0|0|0|0|||NO COMMENTS
99|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|SIERRA N502S06||NO COMMENTS|470|594|180|229|579|389|71|147|183|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|0|0|0|0|0|0|0|0|0|||NO COMMENTS
102|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABORATORIES NO. A08||NO COMMENTS||493|||475|315|||124|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1371|69.63|90.75|0|0|0|679|8329|8409|||NO COMMENTS
118|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABORATORIES NO. A08||NO COMMENTS|305|432|||521|305|||76|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1449|61.88|98.25|0|0|0|0|0|0|||NO COMMENTS
119|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABORATORIES NO. A03||NO COMMENTS|320|452|||490|325|||79|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1135|66.75|97.75|0|0|0|588|2533|6992|||NO COMMENTS
122|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABORATORIES NO.A081||NO COMMENTS|58|163|254|251|0|41|251||119|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1102|63.75|82.5|0|0|0|454|6502|5360|||NO COMMENTS
132|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 320||NO COMMENTS|406|521|157|191|640|432|145|196|224|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|449|78.45|113.25|0|-5204|-2313|0|2567|6583|||NO COMMENTS
133|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABORATORIES NO. A03||NO COMMENTS|427|566|||533|330|251||109|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1101|59.63|97.63|0|0|0|630|3116|2521|||NO COMMENTS
136|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABORATORIES NO. A08||NO COMMENTS||574|||559|318|251||183|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1487|88.88|99.75|0|0|0|707|5770|5722|||NO COMMENTS
137|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABORATORIES NO. A03||NO COMMENTS|447|574|||610|361|||114|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1301|75.5|97.75|0|0|0|0|0|0|||NO COMMENTS
155|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|SIERRA ENGINEERING||NO COMMENTS||457|||||||51|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1024|86.63|97.25|0|0|0|240|0|4432|||NO COMMENTS
156|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABS 759||NO COMMENTS||546|381|381|||||180|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|720|62.75|127.13|0|-3079|-1924|0|0|4558|||NO COMMENTS
157|1|01|LEFT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABS 759||NO COMMENTS||437|406|406|||||140|0|0|0|0|CN|CENTER POSITION|SW|STEERING WHEEL|UN|UNKNOWN|SW|STEERING WHEEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|0|91.75|93.5|0|-5718|-2111|0|0|0|||BAD HIC AND CLIP3M DATA
