TSTNO| VEHNO| OCCLOC| OCCLOCD| OCCTYP| OCCTYPD| OCCAGE| OCCSEX| OCCSEXD| OCCHT| OCCWT| MTHCAL| MTHCALD| DUMSIZ| DUMSIZD| DUMMAN| DUMMOD| DUMDSC| HH| HW| HR| HS| CD| CS| AD| HD| KD| HB| NB| CB| KB| SEPOSN| SEPOSND| CNTRH1| CNTRH1D| CNTRH2| CTRH2D| CNTRC1| CNTRC1D| CNTRC2| CNTRC2D| CNTRL1| CNTRL1D| CTRL2| CNTRL2D| HIC| T1| T2| CLIP3M| LFEM| RFEM| CSI| LBELT| SBELT| TTI| PELVG| OCCCOM 
16|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|SIERRA PART 572 S48||NO COMMENTS|541|729|||577||||175|0|0|0|0|CN|CENTER POSITION|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1123|68.63|114.63|0|-10173|-3381|252|12526|6401|||NO COMMENTS
17|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|PART 527 ALDERSON GFE SER. NO. 760||NO COMMENTS||516|521||478||||213|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1699|90.38|121.5|0|-3590|-5218|0|0|7833|||NO COMMENTS
18|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|PART 572 ALDERSON GFE SER. NO. 760||NO COMMENTS||495|||688||||236|0|0|0|0|CN|CENTER POSITION|WS|WINDSHIELD|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|4444|88.13|100.75|0|-11668|-9902|894|7655|10373|||NO COMMENTS
19|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON 572 759||NO COMMENTS|475|658|||551||||175|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1117|81|109|0|0|0|0|0|0|||NO COMMENTS
20|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|SIERRA ENGINEERING||NO COMMENTS||||||||||0|0|0|0|CN|CENTER POSITION|OT|OTHER|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|153|142.25|245|0|0|0|0|0|0|||NO COMMENTS
25|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 814||NO COMMENTS|325|475|132|221|691|0|132|140|221|0|0|0|0|CN|CENTER POSITION|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|799|68.85|153.83|0|0|0|0|0|7451|||NO COMMENTS
27|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 110||NO COMMENTS|297|404|114|183|483|0|102|145|142|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1864|82.95|94.8|0|0|0|0|0|6850|||NO COMMENTS
30|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|SIERRA N502S04||NO COMMENTS|470|587|173|224|597|0|104|185|127|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|0|82.2|114|0|0|0|0|0|0|||NO COMMENTS
33|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABS             A04||NO COMMENTS|318|447|||500||||229|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1886|82.63|93.63|0|0|0|0|0|0|||NO COMMENTS
35|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABS A-09||NO COMMENTS||495|||||||165|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1848|86.25|96.25|0|0|-818|619|0|6973|||NO COMMENTS
39|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON PART 572 760||NO COMMENTS||559|||536||||163|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1239|106.38|125.5|0|0|0|577|0|0|||NO COMMENTS
40|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON PART 572 760||NO COMMENTS||516|||536||||170|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|226|107.88|154.75|0|0|0|87|0|0|||NO COMMENTS
41|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON PART 572 760||NO COMMENTS||612|||605||||84|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|2589|84.38|117.5|0|0|0|714|0|0|||NO COMMENTS
42|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON PART 572 760||NO COMMENTS||559|||498||||173|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1844|79.63|123.88|0|0|0|789|0|0|||NO COMMENTS
43|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON PART 572 759||NO COMMENTS||559|||549||||203|0|0|0|0|CN|CENTER POSITION|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|610|107.38|177.13|0|0|0|0|0|0|||NO COMMENTS
49|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|SIERRA ENGINEERING||NO COMMENTS||||||||||0|0|0|0|CN|CENTER POSITION|OT|OTHER|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|119|117|240.88|0|0|0|0|0|0|||NO COMMENTS
50|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON 572  759||NO COMMENTS|455|615|||554||||185|0|0|0|0|CN|CENTER POSITION|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|70|59.88|152.63|0|0|0|62|6299|4115|||NO COMMENTS
51|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABS A09||NO COMMENTS||569|||||||152|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|880|101.5|130.88|0|0|0|398|0|7921|||NO COMMENTS
52|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABS 759||NO COMMENTS||559|||||||152|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|782|73.75|158.13|0|0|0|355|0|6843|||NO COMMENTS
53|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LAB A04||NO COMMENTS||417|||||||155|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|786|63.75|130|0|0|0|360|0|12411|||NO COMMENTS
55|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON 572 A04||NO COMMENTS|559|711|||645||||152|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1010|70.75|132.13|0|0|0|0|0|0|||NO COMMENTS
63|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 320||NO COMMENTS|295|381|132|191|495|0|107|178|216|0|0|0|0|CN|CENTER POSITION|OT|OTHER|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1680|87.15|88.88|0|0|0|0|8007|7784|||NO COMMENTS
64|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 110||NO COMMENTS|267|406|122|191|546|0|102|135|168|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1030|60|109.05|0|0|0|0|8007|7117|||NO COMMENTS
65|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 111||NO COMMENTS|368|500|157|218|526|0|165|231|191|0|0|0|0|CN|CENTER POSITION|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|617|66|129.45|0|0|0|0|5516|6761|||NO COMMENTS
66|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 110||NO COMMENTS|389|508|140|191|582|0|127|193|196|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1277|90.45|112.58|0|0|0|0|6139|8896|||NO COMMENTS
71|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 814||NO COMMENTS|389|439|170|234|566|0|127|163|211|0|0|0|0|CN|CENTER POSITION|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|730|69.63|151.13|0|0|0|0|4604|8340|||NO COMMENTS
72|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|AR LAB||NO COMMENTS|||320|320|||152|165||0|0|0|0|CN|CENTER POSITION|OC|ANOTHER OCCUPANT|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|0|0|0|0|-2834|-3011|57|0|0|||NO COMMENTS
73|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 814||NO COMMENTS|241|335|119|147|551|0|69|140|140|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|859|54.83|117.3|0|0|0|0|3069|6583|||NO COMMENTS
78|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|AR LAB||NO COMMENTS||602|251|251|495||160|206|175|0|0|0|0|CN|CENTER POSITION|OC|ANOTHER OCCUPANT|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|25|245.63|250.38|0|0|0|0|0|0|||NO COMMENTS
80|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|AR LAB||NO COMMENTS|||234|234|||89|155||0|0|0|0|CN|CENTER POSITION|OC|ANOTHER OCCUPANT|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|60|96.13|149|0|-641|-200|0|814|0|||NO COMMENTS
92|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 320||NO COMMENTS|333|470|150|208|584|0|132|191|183|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|1585|82.58|103.43|0|0|0|0|8118|6050|||NO COMMENTS
93|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 814||NO COMMENTS|361|508|147|203|716|0|127|170|267|0|0|0|0|CN|CENTER POSITION|OT|OTHER|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|723|80.48|161.33|0|0|0|0|5694|8896|||NO COMMENTS
94|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 109||NO COMMENTS|424|495|137|165|622|0|71|157|208|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|2095|85.2|95.4|0|0|0|0|5338|7429|||NO COMMENTS
96|1|02|RIGHT FRONT SEAT|SD|NHTSA SIDE IMPACT DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|NHTSA SIDE IMPACT DUMMY||NO COMMENTS|394|610|152|178|660|0|117|157|211|0|0|0|0|CN|CENTER POSITION|UN|UNKNOWN|UN|UNKNOWN|UN|UNKNOWN|UN|UNKNOWN|UN|UNKNOWN|UN|UNKNOWN|0|0|0|0|0|0|0|0|0|||NO COMMENTS
99|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|SIERRA N502S03||NO COMMENTS|442|556|163|198|556|0|76|152|165|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|0|0|0|0|0|0|0|0|0|||NO COMMENTS
102|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABORATORIES NO. A09||NO COMMENTS||432|||528||||152|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1460|87.75|99.75|0|0|0|403|9343|7442|||NO COMMENTS
118|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABORATORIES NO. A09||NO COMMENTS|330|457|||528||||127|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|2248|78.5|96|0|0|0|0|0|0|||NO COMMENTS
119|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABORATORIES NO. A04||NO COMMENTS|312|389|||493||||124|0|0|0|0|CN|CENTER POSITION|WS|WINDSHIELD|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|2024|73.88|98.88|0|0|0|1428|1214|2665|||NO COMMENTS
122|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABORATORIES NO. A09||NO COMMENTS|351|445|||528||||152|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1159|82.13|100.63|0|0|0|426|6134|7078|||NO COMMENTS
132|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|HUMANOID 163||NO COMMENTS|419|513|165|193|737||152|191|279|0|0|0|0|CN|CENTER POSITION|OT|OTHER|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|674|85.5|116.63|0|-4448|-2647|0|3612|9430|||NO COMMENTS
133|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABORATORIES NO. A04||NO COMMENTS|356|490|||503||251||84|0|0|0|0|CN|CENTER POSITION|HW|HEADER - WINDSHIELD|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|2858|74.75|95.5|0|0|0|900|1510|1801|||NO COMMENTS
136|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABORATORIES NO. A09||NO COMMENTS||615|||660||251||185|0|0|0|0|CN|CENTER POSITION|OT|OTHER|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1327|115.13|117.25|0|0|0|402|3281|9686|||NO COMMENTS
137|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABORATORIES NO. A04||NO COMMENTS|389|541|||531||||132|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1363|78.5|108.73|0|0|0|0|0|0|||NO COMMENTS
155|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|SIERRA ENGINEERING||NO COMMENTS||483|||||||102|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|889|106.63|116.5|0|0|0|283|0|4884|||NO COMMENTS
156|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABS 760||NO COMMENTS||559|330|330|||||201|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1872|87.63|102.63|0|0|0|0|0|7097|||NO COMMENTS
157|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABS A04||NO COMMENTS||508|351|351|||||124|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|759|99.88|121|0|0|0|365|0|7807|||NO COMMENTS
158|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON PART 572 760||NO COMMENTS||617|||592||||76|0|0|0|0|CN|CENTER POSITION|WS|WINDSHIELD|UN|UNKNOWN|UN|UNKNOWN|UN|UNKNOWN|UN|UNKNOWN|UN|UNKNOWN|695|110.75|130.5|0|-7687|-9742|0|0|0|||NO COMMENTS
159|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON PART 572 760||NO COMMENTS||480|||599||||142|0|0|0|0|CN|CENTER POSITION|OT|OTHER|UN|UNKNOWN|UN|UNKNOWN|UN|UNKNOWN|UN|UNKNOWN|UN|UNKNOWN|1823|120.38|139.75|0|0|0|0|0|0|||NO COMMENTS
160|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON PART 572 760||NO COMMENTS||597|||561||||36|0|0|0|0|CN|CENTER POSITION|HW|HEADER - WINDSHIELD|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|OT|OTHER|UN|UNKNOWN|450|82.63|182.38|0|0|0|0|0|876|||NO COMMENTS
161|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON PART 572 A04||NO COMMENTS||531|||546||||193|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1219|94.13|141.25|0|0|0|0|0|0|||NO COMMENTS
182|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABS A09||NO COMMENTS||396|||||||216|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|2349|46.88|133.88|0|0|0|371|0|11419|||NO COMMENTS
183|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LAB A04||NO COMMENTS||495|||||||165|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1712|99.63|110.63|0|0|0|584|0|7017|||NO COMMENTS
186|1|02|RIGHT FRONT SEAT|P5|PART 572 DUMMY||M|MALE|||OT|OTHER|50|50 PERCENTILE|ALDERSON RESEARCH LABORATORIES NO. A04||NO COMMENTS||467|||561||||208|0|0|0|0|CN|CENTER POSITION|DP|DASHPANEL|UN|UNKNOWN|NO|NONE|UN|UNKNOWN|DP|DASHPANEL|UN|UNKNOWN|1003|92.25|101.75|0|-601|-845|364|5805|6090|||NO COMMENTS
